		#naca0012		
#group	#point	#x_cord	#y_cord	#z_cord
1	284	0.56600	0.04752	0.00000
1	285	0.56800	0.04736	0.00000
1	286	0.57000	0.04721	0.00000
1	287	0.57200	0.04705	0.00000
1	288	0.57400	0.04689	0.00000
1	289	0.57600	0.04674	0.00000
1	290	0.57800	0.04658	0.00000
1	291	0.58000	0.04642	0.00000
1	292	0.58200	0.04626	0.00000
1	293	0.58400	0.04610	0.00000
1	294	0.58600	0.04594	0.00000
1	295	0.58800	0.04578	0.00000
1	296	0.59000	0.04561	0.00000
1	297	0.59200	0.04545	0.00000
1	298	0.59400	0.04529	0.00000
1	299	0.59600	0.04512	0.00000
1	300	0.59800	0.04496	0.00000
1	301	0.60000	0.04479	0.00000
1	302	0.60200	0.04462	0.00000
1	303	0.60400	0.04446	0.00000
1	304	0.60600	0.04429	0.00000
1	305	0.60800	0.04412	0.00000
1	306	0.61000	0.04395	0.00000
1	307	0.61200	0.04378	0.00000
1	308	0.61400	0.04361	0.00000
1	309	0.61600	0.04344	0.00000
1	310	0.61800	0.04327	0.00000
1	311	0.62000	0.04310	0.00000
1	312	0.62200	0.04292	0.00000
1	313	0.62400	0.04275	0.00000
1	314	0.62600	0.04258	0.00000
1	315	0.62800	0.04240	0.00000
1	316	0.63000	0.04223	0.00000
1	317	0.63200	0.04205	0.00000
1	318	0.63400	0.04187	0.00000
1	319	0.63600	0.04170	0.00000
1	320	0.63800	0.04152	0.00000
1	321	0.64000	0.04134	0.00000
1	322	0.64200	0.04116	0.00000
1	323	0.64400	0.04098	0.00000
1	324	0.64600	0.04080	0.00000
1	325	0.64800	0.04062	0.00000
1	326	0.65000	0.04044	0.00000
1	327	0.65200	0.04026	0.00000
1	328	0.65400	0.04007	0.00000
1	329	0.65600	0.03989	0.00000
1	330	0.65800	0.03971	0.00000
1	331	0.66000	0.03952	0.00000
1	332	0.66200	0.03934	0.00000
1	333	0.66400	0.03915	0.00000
1	334	0.66600	0.03896	0.00000
1	335	0.66800	0.03878	0.00000
1	336	0.67000	0.03859	0.00000
1	337	0.67200	0.03840	0.00000
1	338	0.67400	0.03821	0.00000
1	339	0.67600	0.03802	0.00000
1	340	0.67800	0.03783	0.00000
1	341	0.68000	0.03764	0.00000
1	342	0.68200	0.03745	0.00000
1	343	0.68400	0.03726	0.00000
1	344	0.68600	0.03707	0.00000
1	345	0.68800	0.03688	0.00000
1	346	0.69000	0.03668	0.00000
1	347	0.69200	0.03649	0.00000
1	348	0.69400	0.03630	0.00000
1	349	0.69600	0.03610	0.00000
1	350	0.69800	0.03591	0.00000
1	351	0.70000	0.03571	0.00000
1	352	0.70200	0.03551	0.00000
1	353	0.70400	0.03532	0.00000
1	354	0.70600	0.03512	0.00000
1	355	0.70800	0.03492	0.00000
1	356	0.71000	0.03472	0.00000
1	357	0.71200	0.03452	0.00000
1	358	0.71400	0.03432	0.00000
1	359	0.71600	0.03412	0.00000
1	360	0.71800	0.03392	0.00000
1	361	0.72000	0.03372	0.00000
1	362	0.72200	0.03352	0.00000
1	363	0.72400	0.03331	0.00000
1	364	0.72600	0.03311	0.00000
1	365	0.72800	0.03291	0.00000
1	366	0.73000	0.03270	0.00000
1	367	0.73200	0.03250	0.00000
1	368	0.73400	0.03229	0.00000
1	369	0.73600	0.03209	0.00000
1	370	0.73800	0.03188	0.00000
1	371	0.74000	0.03167	0.00000
1	372	0.74200	0.03146	0.00000
1	373	0.74400	0.03126	0.00000
1	374	0.74600	0.03105	0.00000
1	375	0.74800	0.03084	0.00000
1	376	0.75000	0.03063	0.00000
1	377	0.75200	0.03042	0.00000
1	378	0.75400	0.03021	0.00000
1	379	0.75600	0.03000	0.00000
1	380	0.75800	0.02978	0.00000
1	381	0.76000	0.02957	0.00000
1	382	0.76200	0.02936	0.00000
1	383	0.76400	0.02915	0.00000
1	384	0.76600	0.02893	0.00000
1	385	0.76800	0.02872	0.00000
1	386	0.77000	0.02850	0.00000
1	387	0.77200	0.02829	0.00000
1	388	0.77400	0.02807	0.00000
1	389	0.77600	0.02785	0.00000
1	390	0.77800	0.02764	0.00000
1	391	0.78000	0.02742	0.00000
1	392	0.78200	0.02720	0.00000
1	393	0.78400	0.02698	0.00000
1	394	0.78600	0.02676	0.00000
1	395	0.78800	0.02654	0.00000
1	396	0.79000	0.02632	0.00000
1	397	0.79200	0.02610	0.00000
1	398	0.79400	0.02588	0.00000
1	399	0.79600	0.02566	0.00000
1	400	0.79800	0.02543	0.00000
1	401	0.80000	0.02521	0.00000
1	402	0.80200	0.02499	0.00000
1	403	0.80400	0.02476	0.00000
1	404	0.80600	0.02454	0.00000
1	405	0.80800	0.02431	0.00000
1	406	0.81000	0.02409	0.00000
1	407	0.81200	0.02386	0.00000
1	408	0.81400	0.02363	0.00000
1	409	0.81600	0.02341	0.00000
1	410	0.81800	0.02318	0.00000
1	411	0.82000	0.02295	0.00000
1	412	0.82200	0.02272	0.00000
1	413	0.82400	0.02249	0.00000
1	414	0.82600	0.02226	0.00000
1	415	0.82800	0.02203	0.00000
1	416	0.83000	0.02180	0.00000
1	417	0.83200	0.02157	0.00000
1	418	0.83400	0.02133	0.00000
1	419	0.83600	0.02110	0.00000
1	420	0.83800	0.02087	0.00000
1	421	0.84000	0.02063	0.00000
1	422	0.84200	0.02040	0.00000
1	423	0.84400	0.02016	0.00000
1	424	0.84600	0.01993	0.00000
1	425	0.84800	0.01969	0.00000
1	426	0.85000	0.01946	0.00000
1	427	0.85200	0.01922	0.00000
1	428	0.85400	0.01898	0.00000
1	429	0.85600	0.01874	0.00000
1	430	0.85800	0.01850	0.00000
1	431	0.86000	0.01826	0.00000
1	432	0.86200	0.01802	0.00000
1	433	0.86400	0.01778	0.00000
1	434	0.86600	0.01754	0.00000
1	435	0.86800	0.01730	0.00000
1	436	0.87000	0.01706	0.00000
1	437	0.87200	0.01681	0.00000
1	438	0.87400	0.01657	0.00000
1	439	0.87600	0.01633	0.00000
1	440	0.87800	0.01608	0.00000
1	441	0.88000	0.01584	0.00000
1	442	0.88200	0.01559	0.00000
1	443	0.88400	0.01534	0.00000
1	444	0.88600	0.01510	0.00000
1	445	0.88800	0.01485	0.00000
1	446	0.89000	0.01460	0.00000
1	447	0.89200	0.01435	0.00000
1	448	0.89400	0.01410	0.00000
1	449	0.89600	0.01385	0.00000
1	450	0.89800	0.01360	0.00000
1	451	0.90000	0.01335	0.00000
1	452	0.90200	0.01310	0.00000
1	453	0.90400	0.01285	0.00000
1	454	0.90600	0.01260	0.00000
1	455	0.90800	0.01234	0.00000
1	456	0.91000	0.01209	0.00000
1	457	0.91200	0.01183	0.00000
1	458	0.91400	0.01158	0.00000
1	459	0.91600	0.01132	0.00000
1	460	0.91800	0.01107	0.00000
1	461	0.92000	0.01081	0.00000
1	462	0.92200	0.01055	0.00000
1	463	0.92400	0.01029	0.00000
1	464	0.92600	0.01003	0.00000
1	465	0.92800	0.00977	0.00000
1	466	0.93000	0.00951	0.00000
1	467	0.93200	0.00925	0.00000
1	468	0.93400	0.00899	0.00000
1	469	0.93600	0.00873	0.00000
1	470	0.93800	0.00847	0.00000
1	471	0.94000	0.00820	0.00000
1	472	0.94200	0.00794	0.00000
